--------x264--------
nuaf version
!!!nuaf is running!!!
!!!nuaf is running!!!
[48.4%] 248/512 frames, 1.08 fps, 13543.65 kb/s, eta 0:04:04  
[48.6%] 249/512 frames, 1.08 fps, 13577.92 kb/s, eta 0:04:03  
[48.8%] 250/512 frames, 1.08 fps, 13626.11 kb/s, eta 0:04:02  
[49.0%] 251/512 frames, 1.08 fps, 13658.23 kb/s, eta 0:04:02  
[49.2%] 252/512 frames, 1.08 fps, 13679.67 kb/s, eta 0:04:01  
[49.4%] 253/512 frames, 1.08 fps, 13693.93 kb/s, eta 0:04:00  
[49.6%] 254/512 frames, 1.08 fps, 13728.36 kb/s, eta 0:03:59  
[49.8%] 255/512 frames, 1.07 fps, 13741.45 kb/s, eta 0:03:59  
[50.0%] 256/512 frames, 1.07 fps, 13746.34 kb/s, eta 0:03:58  
[50.2%] 257/512 frames, 1.07 fps, 13745.60 kb/s, eta 0:03:57  
[50.4%] 258/512 frames, 1.07 fps, 13793.36 kb/s, eta 0:03:56  
[50.6%] 259/512 frames, 1.07 fps, 13800.86 kb/s, eta 0:03:55  
[50.8%] 260/512 frames, 1.07 fps, 13795.76 kb/s, eta 0:03:54  
[51.0%] 261/512 frames, 1.07 fps, 13791.54 kb/s, eta 0:03:53  
[51.2%] 262/512 frames, 1.07 fps, 13813.58 kb/s, eta 0:03:52  
[51.4%] 263/512 frames, 1.07 fps, 13809.46 kb/s, eta 0:03:51  
[51.6%] 264/512 frames, 1.07 fps, 13796.12 kb/s, eta 0:03:50  
[51.8%] 265/512 frames, 1.07 fps, 13780.21 kb/s, eta 0:03:49  
[52.0%] 266/512 frames, 1.08 fps, 13794.17 kb/s, eta 0:03:48  
[52.1%] 267/512 frames, 1.08 fps, 13784.52 kb/s, eta 0:03:47  
[52.3%] 268/512 frames, 1.08 fps, 13764.24 kb/s, eta 0:03:46  
[52.5%] 269/512 frames, 1.08 fps, 13742.30 kb/s, eta 0:03:45  
[52.7%] 270/512 frames, 1.08 fps, 13733.48 kb/s, eta 0:03:44  
[52.9%] 271/512 frames, 1.08 fps, 13709.89 kb/s, eta 0:03:43  
[53.1%] 272/512 frames, 1.08 fps, 13679.98 kb/s, eta 0:03:41  
[53.3%] 273/512 frames, 1.08 fps, 13649.02 kb/s, eta 0:03:40  
[53.5%] 274/512 frames, 1.08 fps, 13639.47 kb/s, eta 0:03:39  
[53.7%] 275/512 frames, 1.09 fps, 13613.48 kb/s, eta 0:03:38  
[53.9%] 276/512 frames, 1.09 fps, 13581.97 kb/s, eta 0:03:36  
[54.1%] 277/512 frames, 1.09 fps, 13550.60 kb/s, eta 0:03:35  
[54.3%] 278/512 frames, 1.09 fps, 13535.74 kb/s, eta 0:03:34  
[54.5%] 279/512 frames, 1.09 fps, 13505.83 kb/s, eta 0:03:33  
[54.7%] 280/512 frames, 1.09 fps, 13471.48 kb/s, eta 0:03:31  
[54.9%] 281/512 frames, 1.10 fps, 13433.45 kb/s, eta 0:03:30  
[55.1%] 282/512 frames, 1.10 fps, 13410.88 kb/s, eta 0:03:29  
[55.3%] 283/512 frames, 1.10 fps, 13375.95 kb/s, eta 0:03:28  
[55.5%] 284/512 frames, 1.10 fps, 13337.67 kb/s, eta 0:03:26  
[55.7%] 285/512 frames, 1.10 fps, 13299.85 kb/s, eta 0:03:25  
[55.9%] 286/512 frames, 1.11 fps, 13277.07 kb/s, eta 0:03:24  
[56.1%] 287/512 frames, 1.11 fps, 13245.60 kb/s, eta 0:03:22  
[56.2%] 288/512 frames, 1.11 fps, 13209.59 kb/s, eta 0:03:21  
[56.4%] 289/512 frames, 1.11 fps, 13176.49 kb/s, eta 0:03:20  
[56.6%] 290/512 frames, 1.11 fps, 13154.54 kb/s, eta 0:03:19  
[56.8%] 291/512 frames, 1.12 fps, 13124.34 kb/s, eta 0:03:17  
[57.0%] 292/512 frames, 1.12 fps, 13091.34 kb/s, eta 0:03:16  
[57.2%] 293/512 frames, 1.12 fps, 13058.25 kb/s, eta 0:03:15  
[57.4%] 294/512 frames, 1.12 fps, 13035.18 kb/s, eta 0:03:14  
[57.6%] 295/512 frames, 1.12 fps, 13004.98 kb/s, eta 0:03:13  
[57.8%] 296/512 frames, 1.13 fps, 12973.41 kb/s, eta 0:03:11  
[58.0%] 297/512 frames, 1.13 fps, 12941.80 kb/s, eta 0:03:10  
[58.2%] 298/512 frames, 1.13 fps, 12922.74 kb/s, eta 0:03:09  
